,quadname,hydrodym,densities.submat,density_m,density_cm,sub
183,submat_HR,cyclo,3,31.18734685,3118734.685,3
184,submat_HR,cyclo,1,21.28660182,2128660.182,1
185,submat_HR,cyclo,2,9.653226405,965322.6405,2
186,submat_HR,cyclo,3,33.41501448,3341501.448,3
187,submat_HR,cyclo,1,20.79156457,2079156.457,1
188,submat_HR,cyclo,2,7.673077399,767307.7399,2
189,submat_HR,cyclo,3,34.40508898,3440508.898,3
190,submat_HR,cyclo,1,25.49441845,2549441.845,1
191,submat_HR,cyclo,2,7.673077399,767307.7399,2
192,submat_HR,cyclo,3,24.75186258,2475186.258,3
193,submat_HR,cyclo,1,25.98945571,2598945.571,1
194,submat_HR,cyclo,2,6.43548427,643548.427,2
195,submat_HR,cyclo,3,30.93982822,3093982.822,3
196,submat_HR,flow,1,0.247518626,24751.86258,1
197,submat_HR,flow,2,0.990074503,99007.45031,2
198,submat_HR,flow,3,23.76178807,2376178.807,3
199,submat_HR,flow,1,0.990074503,99007.45031,1
200,submat_HR,flow,2,0.495037252,49503.72516,2
201,submat_HR,flow,3,26.73201158,2673201.158,3
202,submat_HR,flow,1,0.990074503,99007.45031,1
203,submat_HR,flow,2,0.990074503,99007.45031,2
204,submat_HR,flow,3,26.97953021,2697953.021,3
205,submat_HR,flow,1,0.247518626,24751.86258,1
206,submat_HR,flow,2,0.990074503,99007.45031,2
207,submat_HR,flow,3,22.02915769,2202915.769,3
208,submat_HR,flow,1,0,0,1
209,submat_HR,flow,2,0.742555877,74255.58773,2
210,submat_HR,flow,3,34.15757036,3415757.036,3
211,submat_HR,active,1,6.187965644,618796.5644,1
212,submat_HR,active,2,6.683002896,668300.2896,2
213,submat_HR,active,3,5.692928393,569292.8393,3
214,submat_HR,active,1,5.692928393,569292.8393,1
215,submat_HR,active,2,8.663151902,866315.1902,2
216,submat_HR,active,3,7.673077399,767307.7399,3
217,submat_HR,active,1,6.683002896,668300.2896,1
218,submat_HR,active,2,8.415633276,841563.3276,2
219,submat_HR,active,3,6.683002896,668300.2896,3
220,submat_HR,active,1,6.930521522,693052.1522,1
221,submat_HR,active,2,6.683002896,668300.2896,2
222,submat_HR,active,3,7.920596025,792059.6025,3
223,submat_HR,active,1,5.940447019,594044.7019,1
224,submat_HR,active,2,5.197891141,519789.1141,2
225,submat_HR,active,3,6.683002896,668300.2896,3
226,submat_HR,oscillating,1,17.57382243,1757382.243,1
227,submat_HR,oscillating,2,45.79094577,4579094.577,2
228,submat_HR,oscillating,3,59.40447019,5940447.019,3
229,submat_HR,oscillating,1,22.77171357,2277171.357,1
230,submat_HR,oscillating,2,42.32568501,4232568.501,2
231,submat_HR,oscillating,3,57.67183981,5767183.981,3
232,submat_HR,oscillating,1,18.06885968,1806885.968,1
233,submat_HR,oscillating,2,48.0186134,4801861.34,2
234,submat_HR,oscillating,3,57.42432118,5742432.118,3
235,submat_HR,oscillating,1,20.04900869,2004900.869,1
236,submat_HR,oscillating,2,47.0285389,4702853.89,2
237,submat_HR,oscillating,3,56.43424668,5643424.668,3
238,submat_HR,oscillating,1,16.08871068,1608871.068,1
239,submat_HR,oscillating,2,44.55335264,4455335.264,2
240,submat_HR,oscillating,3,62.62221232,6262221.232,3
241,submat_V,cyclo,1,25.24689983,2524689.983,1
242,submat_V,cyclo,2,9.900745031,990074.5031,2
243,submat_V,cyclo,3,27.47456746,2747456.746,3
244,submat_V,cyclo,1,23.51426945,2351426.945,1
245,submat_V,cyclo,2,11.13833816,1113833.816,2
246,submat_V,cyclo,3,26.48449296,2648449.296,3
247,submat_V,cyclo,1,23.51426945,2351426.945,1
248,submat_V,cyclo,2,8.415633276,841563.3276,2
249,submat_V,cyclo,3,30.44479097,3044479.097,3
250,submat_V,cyclo,1,24.0093067,2400930.67,1
251,submat_V,cyclo,2,9.900745031,990074.5031,2
252,submat_V,cyclo,3,27.47456746,2747456.746,3
253,submat_V,cyclo,1,21.03908319,2103908.319,1
254,submat_V,cyclo,2,8.910670528,891067.0528,2
255,submat_V,cyclo,3,31.18734685,3118734.685,3
256,submat_V,flow,1,18.31637831,1831637.831,1
257,submat_V,flow,2,25.74193708,2574193.708,2
258,submat_V,flow,3,26.48449296,2648449.296,3
259,submat_V,flow,1,23.51426945,2351426.945,1
260,submat_V,flow,2,23.51426945,2351426.945,2
261,submat_V,flow,3,23.76178807,2376178.807,3
262,submat_V,flow,1,22.27667632,2227667.632,1
263,submat_V,flow,2,25.74193708,2574193.708,2
264,submat_V,flow,3,25.74193708,2574193.708,3
265,submat_V,flow,1,21.03908319,2103908.319,1
266,submat_V,flow,2,23.26675082,2326675.082,2
267,submat_V,flow,3,25.24689983,2524689.983,3
268,submat_V,flow,1,22.77171357,2277171.357,1
269,submat_V,flow,2,27.72208609,2772208.609,2
270,submat_V,flow,3,24.75186258,2475186.258,3
271,submat_V,active,1,8.910670528,891067.0528,1
272,submat_V,active,2,5.445409767,544540.9767,2
273,submat_V,active,3,8.415633276,841563.3276,3
274,submat_V,active,1,6.930521522,693052.1522,1
275,submat_V,active,2,8.415633276,841563.3276,2
276,submat_V,active,3,6.43548427,643548.427,3
277,submat_V,active,1,5.692928393,569292.8393,1
278,submat_V,active,2,6.930521522,693052.1522,2
279,submat_V,active,3,7.425558773,742555.8773,3
280,submat_V,active,1,4.455335264,445533.5264,1
281,submat_V,active,2,6.43548427,643548.427,2
282,submat_V,active,3,9.653226405,965322.6405,3
283,submat_V,active,1,3.960298012,396029.8012,1
284,submat_V,active,2,5.445409767,544540.9767,2
285,submat_V,active,3,10.14826366,1014826.366,3
286,submat_V,oscillating,1,19.30645281,1930645.281,1
287,submat_V,oscillating,2,47.52357615,4752357.615,2
288,submat_V,oscillating,3,55.44417217,5544417.217,3
289,submat_V,oscillating,1,24.9993812,2499938.12,1
290,submat_V,oscillating,2,40.84057325,4084057.325,2
291,submat_V,oscillating,3,57.91935843,5791935.843,3
292,submat_V,oscillating,1,19.55397144,1955397.144,1
293,submat_V,oscillating,2,43.31575951,4331575.951,2
294,submat_V,oscillating,3,59.65198881,5965198.881,3
295,submat_V,oscillating,1,19.30645281,1930645.281,1
296,submat_V,oscillating,2,50.74131828,5074131.828,2
297,submat_V,oscillating,3,53.46402317,5346402.317,3
298,submat_V,oscillating,1,20.79156457,2079156.457,1
299,submat_V,oscillating,2,43.81079676,4381079.676,2
300,submat_V,oscillating,3,57.91935843,5791935.843,3
301,submat_Vdiff2,cyclo,1,29.02837717,2902837.717,1
302,submat_Vdiff2,cyclo,2,10.39578228,1039578.228,2
303,submat_Vdiff2,cyclo,3,38.23154593,3823154.593,3
304,submat_Vdiff2,cyclo,1,25.05491109,2505491.109,1
305,submat_Vdiff2,cyclo,2,9.653226405,965322.6405,2
306,submat_Vdiff2,cyclo,3,43.13302617,4313302.617,3
307,submat_Vdiff2,cyclo,1,27.48314036,2748314.036,1
308,submat_Vdiff2,cyclo,2,5.692928393,569292.8393,2
309,submat_Vdiff2,cyclo,3,50.97539457,5097539.457,3
310,submat_Vdiff2,cyclo,1,26.26902573,2626902.573,1
311,submat_Vdiff2,cyclo,2,8.415633276,841563.3276,2
312,submat_Vdiff2,cyclo,3,49.01480247,4901480.247,3
313,submat_Vdiff2,cyclo,1,25.93790356,2593790.356,1
314,submat_Vdiff2,cyclo,2,10.64330091,1064330.091,2
315,submat_Vdiff2,cyclo,3,41.17243408,4117243.408,3
316,submat_Vdiff2,flow,1,15.01087184,1501087.184,1
317,submat_Vdiff2,flow,2,24.9993812,2499938.12,2
318,submat_Vdiff2,flow,3,54.89657877,5489657.877,3
319,submat_Vdiff2,flow,1,16.55610865,1655610.865,1
320,submat_Vdiff2,flow,2,26.48449296,2648449.296,2
321,submat_Vdiff2,flow,3,48.03450642,4803450.642,3
322,submat_Vdiff2,flow,1,17.65984923,1765984.923,1
323,submat_Vdiff2,flow,2,21.53412044,2153412.044,2
324,submat_Vdiff2,flow,3,49.99509852,4999509.852,3
325,submat_Vdiff2,flow,1,14.56937561,1456937.561,1
326,submat_Vdiff2,flow,2,27.96960471,2796960.471,2
327,submat_Vdiff2,flow,3,61.75865111,6175865.111,3
328,submat_Vdiff2,flow,1,16.55610865,1655610.865,1
329,submat_Vdiff2,flow,2,26.48449296,2648449.296,2
330,submat_Vdiff2,flow,3,58.81776296,5881776.296,3
331,submat_Vdiff2,active,1,5.408328826,540832.8826,1
332,submat_Vdiff2,active,2,6.683002896,668300.2896,2
333,submat_Vdiff2,active,3,14.70444074,1470444.074,3
334,submat_Vdiff2,active,1,6.512069403,651206.9403,1
335,submat_Vdiff2,active,2,6.930521522,693052.1522,2
336,submat_Vdiff2,active,3,8.822664445,882266.4445,3
337,submat_Vdiff2,active,1,5.849825057,584982.5057,1
338,submat_Vdiff2,active,2,6.930521522,693052.1522,2
339,submat_Vdiff2,active,3,8.822664445,882266.4445,3
340,submat_Vdiff2,active,1,5.849825057,584982.5057,1
341,submat_Vdiff2,active,2,7.673077399,767307.7399,2
342,submat_Vdiff2,active,3,6.862072346,686207.2346,3
343,submat_Vdiff2,active,1,6.622443461,662244.3461,1
344,submat_Vdiff2,active,2,5.940447019,594044.7019,2
345,submat_Vdiff2,active,3,8.822664445,882266.4445,3
346,submat_Vdiff2,oscillating,1,19.42583415,1942583.415,1
347,submat_Vdiff2,oscillating,2,50.74131828,5074131.828,2
348,submat_Vdiff2,oscillating,3,110.7734536,11077345.36,3
349,submat_Vdiff2,oscillating,1,19.75695632,1975695.632,1
350,submat_Vdiff2,oscillating,2,51.23635554,5123635.554,2
351,submat_Vdiff2,oscillating,3,105.8719733,10587197.33,3
